video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
c132	2P	2401.33	39	72040	1	0	4	0	0	0
c133	1P	803.47	14	48208	1	1	6	5	0	0
c133	1P	2489.27	44	149356	1	0	4	0	1	0
c134	2P	990.23	14	59414	1	2	5	8	1	1
c134	2P	990.43	14	59426	1	2	5	8	1	1
c134	1P	1214.40	18	72864	1	0	4	0	0	0
c134	1P	1214.97	18	72898	1	0	4	0	0	0
c134	1P	1215.70	18	72942	1	0	4	0	0	0
c134	1P	1728.13	26	103688	1	0	4	0	0	0
c134	1P	2204.53	34	132272	1	0	4	0	1	0
c134	1P	2206.20	34	132372	1	0	4	0	1	0
c134	1P	2206.43	34	132386	1	0	4	0	1	0
c134	1P	2484.37	38	149062	1	0	4	0	0	0
c134	1P	2486.37	38	149182	1	0	4	0	0	0
c134	1P	2487.20	38	149232	1	0	4	0	0	0
c134	1P	2487.30	38	149238	1	0	4	0	0	0
c134	1P	2489.20	38	149352	2	2	13	9	1	1
c135	2P	242.23	0	7267	1	1	17	16	24	24
c135	2P	242.33	0	7270	1	1	18	17	24	24
c136	1P	120.60	0	7236	1	0	4	0	0	0
c136	1P	120.70	0	7242	1	0	4	0	0	0
c136	1P	121.83	0	7310	1	0	4	0	0	0
c136	1P	122.23	0	7334	1	0	4	0	0	0
c136	1P	122.27	0	7336	1	0	4	0	0	0
c136	1P	122.30	0	7338	1	0	4	0	0	0
c136	1P	122.33	0	7340	1	0	4	0	0	0
c136	1P	122.43	0	7346	5	5	29	32	5	7
c136	1P	122.50	0	7350	5	5	29	32	5	7
c136	1P	1073.77	15	64426	1	0	4	0	0	0
c136	1P	1075.03	15	64502	1	0	4	0	0	0
c136	1P	1076.80	15	64608	1	5	8	32	0	6
c136	1P	1805.47	26	108328	1	1	5	4	0	0
c136	2P	2916.20	43	174972	1	0	4	0	0	0
c136	2P	2917.90	43	175074	1	0	4	0	3	0
c136	2P	2918.27	43	175096	1	0	4	0	3	0
c136	2P	2918.30	43	175098	1	0	4	0	3	0
c136	2P	2918.33	43	175100	1	0	4	0	3	0
c137	1P	747.27	9	44836	1	0	4	0	1	0
c137	1P	747.87	9	44872	1	0	4	0	1	0
c137	1P	748.07	9	44884	1	0	4	0	1	0
c137	1P	748.67	9	44920	1	0	4	0	1	0
c137	1P	749.17	9	44950	1	0	4	0	1	0
c138	1P	923.57	8	27707	1	0	4	0	0	0
c138	1P	1170.17	12	35105	1	0	4	0	1	0
c138	1P	1171.20	12	35136	1	1	5	4	1	1
c138	2P	1522.63	18	45679	1	1	9	5	1	0
c138	2P	1524.00	18	45720	1	1	9	5	2	1
c139	1P	1573.20	25	94392	1	0	4	0	0	0
c139	1P	1576.27	25	94576	1	0	4	0	1	0
c139	1P	1576.50	25	94590	1	0	4	0	1	0
c139	1P	1576.53	25	94592	1	2	8	8	1	1
c139	2P	1748.53	27	104912	1	0	4	0	3	0
c139	2P	1749.30	27	104958	1	0	4	0	3	0
c139	2P	1750.87	27	105052	1	0	4	0	3	0
c139	2P	1750.90	27	105054	1	0	4	0	3	0
c139	1P	2335.67	37	140140	1	0	4	0	0	0
c139	1P	2644.33	43	158660	1	0	4	0	0	0
c14	1P	1154.83	13	69290	1	0	4	0	1	0
c14	1P	3057.27	47	183436	1	0	4	0	4	0
c14	1P	3057.53	47	183452	1	1	5	4	4	4
c140	1P	456.23	5	27374	1	0	4	0	0	0
c140	2P	1391.43	21	83486	9	9	47	46	5	5
c140	1P	3301.27	55	198076	1	0	4	0	0	0
c140	1P	3301.57	55	198094	1	0	4	0	0	0
c140	1P	3301.70	55	198102	1	0	4	0	0	0
c140	1P	3301.73	55	198104	1	0	4	0	0	0
c140	1P	3301.77	55	198106	1	0	4	0	0	0
c141	1P	2577.90	46	154674	1	1	5	4	1	1
c141	1P	2579.20	46	154752	1	1	5	4	1	1
c142	1P	665.70	10	19971	1	0	4	0	0	0
c142	1P	666.57	10	19997	1	0	4	0	0	0
c142	1P	668.03	10	20041	1	0	4	0	0	0
c142	1P	668.30	10	20049	1	0	4	0	0	0
c142	1P	668.33	10	20050	1	0	4	0	0	0
c144	2P	255.77	1	15346	1	1	5	4	0	0
c144	1P	1455.33	23	87320	1	1	5	4	0	0
c144	2P	1714.27	28	102856	1	1	5	4	1	1
c15	2P	160.33	0	9620	1	0	4	0	0	0
c15	2P	161.10	0	9666	1	0	4	0	0	0
c15	2P	162.47	0	9748	1	0	4	0	3	0
c15	2P	245.93	2	14756	1	0	4	0	0	0
c15	2P	246.67	2	14800	1	1	5	4	1	1
c15	1P	546.97	6	32818	1	0	4	0	1	0
c15	1P	547.20	6	32832	1	0	4	0	1	0
c15	1P	548.20	6	32892	1	0	4	0	0	0
c15	1P	548.67	6	32920	1	0	4	0	0	0
c15	1P	548.70	6	32922	1	0	4	0	0	0
c15	1P	548.73	6	32924	1	0	4	0	0	0
c15	1P	548.90	6	32934	1	0	4	0	0	0
c15	1P	550.27	6	33016	1	0	4	0	1	0
c15	2P	2007.63	31	120458	1	1	5	4	0	0
c15	1P	2861.40	45	171684	1	0	4	0	0	0
c15	1P	3027.27	48	181636	2	4	10	18	0	0
c17	1P	171.83	0	10310	1	0	4	0	0	0
c17	1P	172.17	0	10330	1	1	5	4	0	0
c17	1P	533.10	6	31986	1	0	4	0	0	0
c18	1P	645.87	6	38752	1	1	8	4	0	0
c18	1P	646.20	6	38772	1	1	8	4	0	0
c18	1P	647.20	6	38832	1	1	13	9	0	0
c18	1P	2064.00	28	123840	1	0	4	0	0	0
c18	1P	2065.80	28	123948	1	0	4	0	0	0
c18	1P	2067.20	28	124032	1	0	4	0	0	0
c18	1P	2067.70	28	124062	1	0	4	0	1	0
c18	1P	2067.97	28	124078	1	0	4	0	1	0
c18	1P	2068.00	28	124080	1	0	4	0	1	0
c18	2P	2111.47	29	126688	1	0	4	0	0	0
c18	1P	2326.17	31	139570	1	0	4	0	0	0
c18	1P	2327.40	31	139644	1	0	4	0	0	0
c18	1P	2327.67	31	139660	1	1	9	8	0	0
c18	1P	3063.00	43	183780	1	0	4	0	0	0
c18	1P	3063.53	43	183812	1	0	4	0	0	0
c18	1P	3064.33	43	183860	1	0	4	0	0	0
c18	1P	3065.03	43	183902	1	0	4	0	0	0
c18	1P	3065.67	43	183940	2	3	18	19	0	0
c19	1P	463.53	4	27812	1	0	4	0	0	0
c19	1P	470.20	4	28212	1	0	4	0	0	0
c19	2P	1554.80	23	93288	1	1	5	4	1	1
c19	1P	2017.57	31	121054	1	0	4	0	0	0
