video_name	video_id	duration_sec	title	tier	source_file	on_disk
video_33	IohzpJf4qD0	3374	【マスター・4ブロック】hov vs むー 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_34	Du64HhfN6iI	2632	【マスター・3ブロック】SAKI vs タイタン 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_35	JvMRe830fQE	3667	【マスター進出決定トーナメント・Aブロック】ひまこ vs まじぇす  30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_36	c2ZJSOOA2qk	3434	【マスター進出決定トーナメント・Cブロック】カキ様 vs とりいぬ 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_37	bQ_BO0umm_0	3532	【マスター進出決定トーナメント・Bブロック】やまゆう vs 3  30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_38	Pl804jhzOl8	3300	【マスター進出決定トーナメント・Aブロック】なしー vs ひまこ  30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_39	RNUJjULeHJI	3147	【マスター進出決定トーナメント・Bブロック】Yoshi100_Aus vs やまゆう 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_40	54ohUB70Koo	3267	【マスター進出決定トーナメント・Cブロック】なおこれ vs とりいぬ 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_41				UNCONFIRMED		1
video_42	c4uuX0N0KR8	3632	【A・B1級複合決勝トーナメント準々決勝】DIO vs PRR  30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/phase_e_dl_index.tsv	1
video_43	ApH_cBMWpTU	2884	【A・B1級複合決勝トーナメント準々決勝】teva vs ばたし 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	その他大会系	data/phase_e_dl_index.tsv	1
video_48	JvvJQcL7iR4	3226	【マスター・1ブロック】sym vs まじぇす 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_49	GqBH999cQyU	3563	【マスター・3ブロック】タイタン vs ぷにちゃん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_50	enHxRrKeAAs	2972	【マスター・2ブロック】3 vs いさな 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_51	175kntUk2xA	1996	【マスター・3ブロック】light vs SAKI 30先(解説：こんけあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_52	3DhPCYMdlAE	2927	【マスター・2ブロック】:o vs いさな 30先(解説：こんけあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_54	QHLwBYhUppg	3758	【マスター・4ブロック】hov vs Ponderion 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_57	iR75tB73Pps	3510	【マスター・1ブロック】selva vs とりぱん 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_61	8pVEmxvEQ18	2982	【マスター・1ブロック】とりいぬ vs まじぇす 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_63	DSsxaZk2ckI	3122	【マスター・4ブロック】Ponderion vs reoru 30先(解説：delta)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_64	gzDjjWFL_Qo	3313	【マスター・3ブロック】light vs タイタン 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_65	g_bFvlXeJks	2815	【マスター・4ブロック】Ponderion vs むー 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_66	krlszUFRO-Y	3489	【マスター・1ブロック】とりぱん vs まじぇす 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_70	YuF9QarQra4	3626	【マスター・1ブロック】selva vs まじぇす 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_71	MLQuKjTWrdw	3458	【マスター・3ブロック】SAKI vs スラさん 30先(解説：ようかん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_73	DuEjyy3w3CI	3599	【マスター・3ブロック】スラさん vs タイタン 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_74	7GzyjbnMJYs	3161	【マスター・3ブロック】light vs スラさん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_75	Ju76d7CJ46U	3420	【マスター・1ブロック】とりいぬ vs とりぱん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_77	h1GpiHbFgR4	3201	【マスター・4ブロック】Ponderion vs syakegohan 30先(解説：delta)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_78	1QoAmAQsROs	3657	【マスター・2ブロック】MGR vs ゆが 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_79	cYiFD-jlFBc	3230	【マスター・3ブロック】SAKI vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_80	lGFYrIe65ps	3542	【マスター・2ブロック】MGR vs TS 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_81	DBfHe3dA244	3141	【マスター・1ブロック】selva vs レイン 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_82	-mCImzUDQkQ	3424	【マスター・4ブロック】reoru vs むー 30先(解説：ようかん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_84	lcMK9XEFx5o	3385	【マスター・3ブロック】light vs ぷにちゃん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_86	HSy0Kj8HNoI	3603	【マスター・2ブロック】3 vs MGR 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_89	H9uHCNGqBqk	3849	【マスター・3ブロック】あん vs ぷにちゃん 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_90	dWchqPaeEc4	3182	【マスター・1ブロック】とりぱん vs レイン 30先(解説：Shiyota)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_91	IrCNnxwWa1o	3131	【マスター・4ブロック】reoru vs syakegohan 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
video_92	Hl2QlK8dAwo	3685	【マスター・2ブロック】3 vs ゆが 30先(解説：DIO)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	0
